SALESORDERID,SALESORDERITEM,PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
0500000467,0000000040,RC-1053,,USD,4599.00,4024.13,574.87,I,,8.000,EA,2020-02-20
0500000081,0000000040,DB-1081,,USD,1499.00,1311.63,187.37,I,,2.000,EA,2018-06-14
0500000193,0000000020,EB-1135,,USD,3000.00,2625.00,375.00,I,,2.000,EA,2018-12-02
0500000261,0000000100,DB-1082,,USD,1250.00,1093.75,156.25,I,,8.000,EA,2019-03-14
0500000019,0000000010,MB-1031,,USD,649.00,567.87,81.12,I,,7.000,EA,2018-04-12
0500000430,0000000050,BX-1016,,USD,319.00,279.12,39.88,I,,3.000,EA,2019-12-21
0500000315,0000000070,RC-1055,,USD,1999.00,1749.13,249.87,I,,10.000,EA,2999-12-12
0500000375,0000000050,CB-1161,,USD,399.00,349.12,49.88,I,,2.000,EA,2019-09-07
0500000416,0000000080,HB-1173,,USD,649.00,567.87,81.12,I,,6.000,EA,2019-12-04
0500000269,0000000050,HB-1173,,USD,649.00,567.87,81.12,I,,2.000,EA,2019-04-02
0500000252,0000000030,CC-1023,,USD,1361.00,1190.88,170.12,I,,3.000,EA,2019-03-05
0500000290,0000000060,MB-1031,,USD,649.00,567.87,81.12,I,,1.000,EA,2019-05-17
0500000071,0000000020,HB-1175,,USD,899.00,786.62,112.37,I,,6.000,EA,2018-06-15
0500000284,0000000050,RC-1055,,USD,1999.00,1749.13,249.87,I,,5.000,EA,2019-05-03
0500000195,0000000030,EB-1137,,USD,7900.00,6912.50,987.50,I,,6.000,EA,2018-12-07
0500000369,0000000010,RC-1053,,USD,4599.00,4024.13,574.87,I,,4.000,EA,2019-09-15
0500000362,0000000100,HB-1173,,USD,649.00,567.87,81.12,I,,7.000,EA,2019-09-04
0500000225,0000000060,RC-1055,,USD,1999.00,1749.13,249.87,I,,3.000,EA,2019-02-09
0500000241,0000000030,HB-1172,,USD,799.00,699.12,99.87,I,,5.000,EA,2019-01-30
0500000421,0000000030,DB-1081,,USD,1499.00,1311.63,187.37,I,,4.000,EA,2019-11-25
0500000200,0000000040,RO-1001,,USD,525.00,459.37,65.62,I,,3.000,EA,2018-12-20
0500000116,0000000050,RO-1002,,USD,689.00,602.87,86.12,I,,9.000,EA,2018-07-27
0500000179,0000000060,HB-1174,,USD,379.00,331.62,47.38,I,,10.000,EA,2018-11-24
0500000165,0000000010,HB-1171,,USD,699.00,611.62,87.37,I,,1.000,EA,2018-11-01
0500000319,0000000050,EB-1132,,USD,1900.00,1662.50,237.50,I,,6.000,EA,2019-06-25
0500000384,0000000010,HB-1174,,USD,379.00,331.62,47.38,I,,3.000,EA,2019-09-21
0500000129,0000000020,MB-1032,,USD,1299.00,1136.63,162.37,I,,10.000,EA,2018-08-18
0500000011,0000000060,MB-1032,,USD,1299.00,1136.63,162.37,I,,1.000,EA,2018-03-06
0500000060,0000000070,RO-1003,,USD,721.00,630.87,90.12,I,,9.000,EA,2018-05-19
0500000375,0000000060,MB-1032,,USD,1299.00,1136.63,162.37,I,,4.000,EA,2019-09-07
0500000262,0000000010,RC-1057,,USD,4999.00,4374.13,624.87,I,,2.000,EA,2019-04-10
0500000185,0000000010,EB-1134,,USD,4800.00,4200.00,600.00,I,,2.000,EA,2018-11-25
0500000411,0000000040,HB-1172,,USD,799.00,699.12,99.87,I,,2.000,EA,2019-11-25
0500000441,0000000090,HB-1176,,USD,1199.00,1049.13,149.87,I,,7.000,EA,2020-01-08
0500000150,0000000070,EB-1132,,USD,1900.00,1662.50,237.50,I,,7.000,EA,2018-09-18
0500000081,0000000050,BX-1016,,USD,319.00,279.12,39.88,I,,2.000,EA,2018-06-14
0500000405,0000000040,EB-1134,,USD,4800.00,4200.00,600.00,I,,1.000,EA,2019-11-16
0500000390,0000000030,RC-1055,,USD,1999.00,1749.13,249.87,I,,10.000,EA,2019-10-26
0500000071,0000000030,RC-1055,,USD,1999.00,1749.13,249.87,I,,4.000,EA,2018-06-15
0500000421,0000000040,BX-1015,,USD,299.00,261.62,37.38,I,,1.000,EA,2019-11-25
0500000042,0000000030,DB-1081,,USD,1499.00,1311.63,187.37,I,,1.000,EA,2018-05-12
0500000459,0000000100,CB-1163,,USD,288.00,252.00,36.00,I,,9.000,EA,2020-02-21
0500000006,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,5.000,EA,2018-03-16
0500000215,0000000010,HB-1171,,USD,699.00,611.62,87.37,I,,6.000,EA,2018-12-30
0500000393,0000000070,BX-1013,,USD,449.00,392.87,56.13,I,,7.000,EA,2019-10-20
0500000269,0000000060,CB-1163,,USD,288.00,252.00,36.00,I,,9.000,EA,2019-04-02
0500000436,0000000040,CC-1023,,USD,1361.00,1190.88,170.12,I,,9.000,EA,2020-01-05
0500000029,0000000080,RC-1054,,USD,5499.00,4811.63,687.37,I,,9.000,EA,2018-04-14
0500000375,0000000070,RC-1055,,USD,1999.00,1749.13,249.87,I,,3.000,EA,2019-09-07
0500000034,0000000050,DB-1081,,USD,1499.00,1311.63,187.37,I,,10.000,EA,2018-04-27
0500000467,0000000050,RO-1001,,USD,525.00,459.37,65.62,I,,4.000,EA,2020-02-20
0500000338,0000000050,HB-1171,,USD,699.00,611.62,87.37,I,,9.000,EA,2019-08-03
0500000345,0000000010,EB-1137,,USD,7900.00,6912.50,987.50,I,,4.000,EA,2019-08-13
0500000225,0000000070,MB-1033,,USD,3999.00,3499.13,499.87,I,,2.000,EA,2019-02-09
0500000375,0000000080,RC-1054,,USD,5499.00,4811.63,687.37,I,,9.000,EA,2019-09-07
0500000175,0000000050,EB-1133,,USD,2250.00,1968.75,281.25,I,,3.000,EA,2018-11-19
0500000369,0000000020,EB-1132,,USD,1900.00,1662.50,237.50,I,,6.000,EA,2019-09-15
0500000295,0000000080,HB-1171,,USD,699.00,611.62,87.37,I,,10.000,EA,2019-05-30
0500000190,0000000090,MB-1033,,USD,3999.00,3499.13,499.87,I,,9.000,EA,2018-12-14
0500000063,0000000050,EB-1137,,USD,7900.00,6912.50,987.50,I,,3.000,EA,2018-06-15
0500000116,0000000060,RC-1053,,USD,4599.00,4024.13,574.87,I,,1.000,EA,2018-07-27
0500000160,0000000030,RC-1055,,USD,1999.00,1749.13,249.87,I,,7.000,EA,2018-10-20
0500000081,0000000060,HB-1175,,USD,899.00,786.62,112.37,I,,3.000,EA,2018-06-14
0500000308,0000000020,BX-1016,,USD,319.00,279.12,39.88,I,,4.000,EA,2019-06-18
0500000421,0000000050,MB-1031,,USD,649.00,567.87,81.12,I,,10.000,EA,2019-11-25
0500000068,0000000040,HB-1173,,USD,649.00,567.87,81.12,I,,6.000,EA,2018-05-31
0500000290,0000000070,CC-1023,,USD,1361.00,1190.88,170.12,I,,1.000,EA,2019-05-17
0500000430,0000000060,BX-1014,,USD,799.00,699.12,99.87,I,,4.000,EA,2019-12-21
0500000019,0000000020,BX-1013,,USD,449.00,392.87,56.13,I,,8.000,EA,2018-04-12
0500000110,0000000010,CB-1163,,USD,288.00,252.00,36.00,I,,6.000,EA,2018-07-27
0500000071,0000000040,HB-1171,,USD,699.00,611.62,87.37,I,,1.000,EA,2018-06-15
0500000357,0000000050,CB-1163,,USD,288.00,252.00,36.00,I,,7.000,EA,2019-08-26
0500000417,0000000010,HB-1174,,USD,379.00,331.62,47.38,I,,1.000,EA,2019-12-09
0500000129,0000000030,RO-1001,,USD,525.00,459.37,65.62,I,,5.000,EA,2018-08-18
0500000375,0000000090,MB-1033,,USD,3999.00,3499.13,499.87,I,,6.000,EA,2019-09-07
0500000390,0000000040,EB-1133,,USD,2250.00,1968.75,281.25,I,,7.000,EA,2019-10-26
0500000315,0000000080,BX-1012,,USD,399.00,349.12,49.88,I,,8.000,EA,2999-12-12
0500000215,0000000020,MB-1033,,USD,3999.00,3499.13,499.87,I,,7.000,EA,2018-12-30
0500000350,0000000090,MB-1033,,USD,3999.00,3499.13,499.87,I,,1.000,EA,2019-08-05
0500000049,0000000060,HB-1171,,USD,699.00,611.62,87.37,I,,9.000,EA,2018-05-01
0500000456,0000000010,BX-1012,,USD,399.00,349.12,49.88,I,,4.000,EA,2020-01-31
0500000112,0000000010,RO-1002,,USD,689.00,602.87,86.12,I,,1.000,EA,2018-08-03
0500000269,0000000070,HB-1176,,USD,1199.00,1049.13,149.87,I,,4.000,EA,2019-04-02
0500000326,0000000100,DB-1081,,USD,1499.00,1311.63,187.37,I,,9.000,EA,2019-07-21
0500000012,0000000010,HB-1176,,USD,1199.00,1049.13,149.87,I,,9.000,EA,2018-03-18
0500000257,0000000010,MB-1033,,USD,3999.00,3499.13,499.87,I,,6.000,EA,2019-03-11
0500000262,0000000020,DB-1081,,USD,1499.00,1311.63,187.37,I,,2.000,EA,2019-04-10
0500000245,0000000030,MB-1033,,USD,3999.00,3499.13,499.87,I,,1.000,EA,2019-02-19
0500000405,0000000050,HB-1175,,USD,899.00,786.62,112.37,I,,5.000,EA,2019-11-16
0500000319,0000000060,CC-1021,,USD,1144.00,1001.00,143.00,I,,8.000,EA,2019-06-25
0500000225,0000000080,MB-1034,,USD,2499.00,2186.63,312.37,I,,9.000,EA,2019-02-09
0500000091,0000000030,BX-1012,,USD,399.00,349.12,49.88,I,,9.000,EA,2018-07-16
0500000053,0000000020,RO-1001,,USD,525.00,459.37,65.62,I,,9.000,EA,2018-05-16
0500000206,0000000010,BX-1016,,USD,319.00,279.12,39.88,I,,7.000,EA,2018-12-29
0500000422,0000000010,RC-1055,,USD,1999.00,1749.13,249.87,I,,9.000,EA,2019-12-02
0500000116,0000000070,DB-1082,,USD,1250.00,1093.75,156.25,I,,8.000,EA,2018-07-27
0500000029,0000000090,BX-1012,,USD,399.00,349.12,49.88,I,,2.000,EA,2018-04-14
0500000259,0000000050,EB-1136,,USD,5000.00,4375.00,625.00,I,,5.000,EA,2019-03-06
0500000165,0000000020,EB-1131,,USD,1500.00,1312.50,187.50,I,,4.000,EA,2018-11-01
0500000130,0000000010,RC-1051,,USD,2499.00,2186.63,312.37,I,,8.000,EA,2018-09-09
0500000384,0000000020,RC-1053,,USD,4599.00,4024.13,574.87,I,,4.000,EA,2019-09-21
0500000436,0000000050,RO-1002,,USD,689.00,602.87,86.12,I,,3.000,EA,2020-01-05
0500000363,0000000010,CB-1161,,USD,399.00,349.12,49.88,I,,1.000,EA,2019-08-24
0500000376,0000000010,CC-1022,,USD,1200.00,1050.00,150.00,I,,9.000,EA,2019-09-23
0500000210,0000000020,EB-1136,,USD,5000.00,4375.00,625.00,I,,2.000,EA,2018-12-31
0500000071,0000000050,CC-1022,,USD,1200.00,1050.00,150.00,I,,10.000,EA,2018-06-15
0500000175,0000000060,HB-1172,,USD,799.00,699.12,99.87,I,,9.000,EA,2018-11-19
0500000098,0000000010,CC-1023,,USD,1361.00,1190.88,170.12,I,,9.000,EA,2018-07-17
0500000081,0000000070,EB-1134,,USD,4800.00,4200.00,600.00,I,,7.000,EA,2018-06-14
0500000179,0000000070,EB-1136,,USD,5000.00,4375.00,625.00,I,,6.000,EA,2018-11-24
0500000345,0000000020,EB-1131,,USD,1500.00,1312.50,187.50,I,,9.000,EA,2019-08-13
0500000185,0000000020,RC-1056,,USD,2499.00,2186.63,312.37,I,,5.000,EA,2018-11-25
0500000358,0000000010,RO-1003,,USD,721.00,630.87,90.12,I,,8.000,EA,2019-08-23
0500000327,0000000010,HB-1173,,USD,649.00,567.87,81.12,I,,1.000,EA,2019-07-11
0500000215,0000000030,RO-1003,,USD,721.00,630.87,90.12,I,,9.000,EA,2018-12-30
0500000269,0000000080,DB-1081,,USD,1499.00,1311.63,187.37,I,,1.000,EA,2019-04-02
0500000412,0000000010,RC-1057,,USD,4999.00,4374.13,624.87,I,,4.000,EA,2019-11-26
0500000193,0000000030,HB-1175,,USD,899.00,786.62,112.37,I,,1.000,EA,2018-12-02
0500000042,0000000040,EB-1136,,USD,5000.00,4375.00,625.00,I,,1.000,EA,2018-05-12
0500000308,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,5.000,EA,2019-06-18
0500000423,0000000010,BX-1011,,USD,249.00,217.87,31.12,I,,5.000,EA,2019-11-26
0500000055,0000000030,CB-1163,,USD,288.00,252.00,36.00,I,,10.000,EA,2018-05-07
0500000226,0000000010,RC-1053,,USD,4599.00,4024.13,574.87,I,,8.000,EA,2019-01-17
0500000262,0000000030,CC-1021,,USD,1144.00,1001.00,143.00,I,,8.000,EA,2019-04-10
0500000160,0000000040,CC-1023,,USD,1361.00,1190.88,170.12,I,,6.000,EA,2018-10-20
0500000035,0000000010,BX-1015,,USD,299.00,261.62,37.38,I,,5.000,EA,2018-04-30
0500000456,0000000020,BX-1011,,USD,249.00,217.87,31.12,I,,1.000,EA,2020-01-31
0500000468,0000000010,BX-1016,,USD,319.00,279.12,39.88,I,,4.000,EA,2020-02-23
0500000093,0000000070,DB-1082,,USD,1250.00,1093.75,156.25,I,,1.000,EA,2018-06-28
0500000376,0000000020,CC-1021,,USD,1144.00,1001.00,143.00,I,,10.000,EA,2019-09-23
0500000116,0000000080,HB-1173,,USD,649.00,567.87,81.12,I,,1.000,EA,2018-07-27
0500000081,0000000080,HB-1172,,USD,799.00,699.12,99.87,I,,7.000,EA,2018-06-14
0500000442,0000000010,BX-1013,,USD,449.00,392.87,56.13,I,,3.000,EA,2019-12-25
0500000460,0000000010,RC-1057,,USD,4999.00,4374.13,624.87,I,,1.000,EA,2020-02-05
0500000105,0000000040,CB-1163,,USD,288.00,252.00,36.00,I,,8.000,EA,2018-08-07
0500000369,0000000030,BX-1011,,USD,249.00,217.87,31.12,I,,6.000,EA,2019-09-15
0500000241,0000000040,EB-1137,,USD,7900.00,6912.50,987.50,I,,2.000,EA,2019-01-30
0500000071,0000000060,MB-1031,,USD,649.00,567.87,81.12,I,,10.000,EA,2018-06-15
0500000315,0000000090,EB-1134,,USD,4800.00,4200.00,600.00,I,,4.000,EA,2999-12-12
0500000327,0000000020,MB-1031,,USD,649.00,567.87,81.12,I,,8.000,EA,2019-07-11
0500000393,0000000080,MB-1034,,USD,2499.00,2186.63,312.37,I,,7.000,EA,2019-10-20
0500000130,0000000020,RC-1053,,USD,4599.00,4024.13,574.87,I,,2.000,EA,2018-09-09
0500000418,0000000010,CB-1163,,USD,288.00,252.00,36.00,I,,7.000,EA,2019-11-30
0500000284,0000000060,BX-1015,,USD,299.00,261.62,37.38,I,,1.000,EA,2019-05-03
0500000291,0000000010,CC-1022,,USD,1200.00,1050.00,150.00,I,,3.000,EA,2019-05-03
0500000200,0000000050,EB-1135,,USD,3000.00,2625.00,375.00,I,,10.000,EA,2018-12-20
0500000363,0000000020,HB-1176,,USD,1199.00,1049.13,149.87,I,,10.000,EA,2019-08-24
0500000376,0000000030,CB-1163,,USD,288.00,252.00,36.00,I,,6.000,EA,2019-09-23
0500000269,0000000090,HB-1175,,USD,899.00,786.62,112.37,I,,9.000,EA,2019-04-02
0500000319,0000000070,HB-1175,,USD,899.00,786.62,112.37,I,,7.000,EA,2019-06-25
0500000295,0000000090,MB-1033,,USD,3999.00,3499.13,499.87,I,,10.000,EA,2019-05-30
0500000215,0000000040,CC-1021,,USD,1144.00,1001.00,143.00,I,,7.000,EA,2018-12-30
0500000012,0000000020,EB-1132,,USD,1900.00,1662.50,237.50,I,,10.000,EA,2018-03-18
0500000151,0000000010,HB-1175,,USD,899.00,786.62,112.37,I,,8.000,EA,2018-10-17
0500000179,0000000080,CC-1021,,USD,1144.00,1001.00,143.00,I,,7.000,EA,2018-11-24
0500000252,0000000040,CC-1023,,USD,1361.00,1190.88,170.12,I,,2.000,EA,2019-03-05
0500000423,0000000020,EB-1133,,USD,2250.00,1968.75,281.25,I,,3.000,EA,2019-11-26
0500000185,0000000030,BX-1013,,USD,449.00,392.87,56.13,I,,3.000,EA,2018-11-25
0500000226,0000000020,BX-1015,,USD,299.00,261.62,37.38,I,,3.000,EA,2019-01-17
0500000262,0000000040,HB-1173,,USD,649.00,567.87,81.12,I,,9.000,EA,2019-04-10
0500000390,0000000050,BX-1013,,USD,449.00,392.87,56.13,I,,10.000,EA,2019-10-26
0500000412,0000000020,DB-1082,,USD,1250.00,1093.75,156.25,I,,5.000,EA,2019-11-26
0500000006,0000000040,CB-1163,,USD,288.00,252.00,36.00,I,,10.000,EA,2018-03-16
0500000019,0000000030,DB-1082,,USD,1250.00,1093.75,156.25,I,,7.000,EA,2018-04-12
0500000060,0000000080,RC-1057,,USD,4999.00,4374.13,624.87,I,,3.000,EA,2018-05-19
0500000042,0000000050,RO-1001,,USD,525.00,459.37,65.62,I,,7.000,EA,2018-05-12
0500000327,0000000030,HB-1175,,USD,899.00,786.62,112.37,I,,7.000,EA,2019-07-11
0500000081,0000000090,MB-1032,,USD,1299.00,1136.63,162.37,I,,1.000,EA,2018-06-14
0500000117,0000000010,DB-1083,,USD,1199.00,1049.13,149.87,I,,5.000,EA,2018-08-27
0500000110,0000000020,RC-1055,,USD,1999.00,1749.13,249.87,I,,3.000,EA,2018-07-27
0500000437,0000000010,MB-1032,,USD,1299.00,1136.63,162.37,I,,2.000,EA,2019-12-27
0500000351,0000000010,HB-1175,,USD,899.00,786.62,112.37,I,,8.000,EA,2019-08-10
0500000405,0000000060,RO-1001,,USD,525.00,459.37,65.62,I,,8.000,EA,2019-11-16
0500000068,0000000050,RO-1002,,USD,689.00,602.87,86.12,I,,1.000,EA,2018-05-31
0500000338,0000000060,HB-1172,,USD,799.00,699.12,99.87,I,,2.000,EA,2019-08-03
0500000376,0000000040,EB-1131,,USD,1500.00,1312.50,187.50,I,,7.000,EA,2019-09-23
0500000130,0000000030,CB-1163,,USD,288.00,252.00,36.00,I,,2.000,EA,2018-09-09
0500000071,0000000070,EB-1133,,USD,2250.00,1968.75,281.25,I,,4.000,EA,2018-06-15
0500000063,0000000060,EB-1135,,USD,3000.00,2625.00,375.00,I,,2.000,EA,2018-06-15
0500000345,0000000030,EB-1134,,USD,4800.00,4200.00,600.00,I,,2.000,EA,2019-08-13
0500000030,0000000010,BX-1013,,USD,449.00,392.87,56.13,I,,9.000,EA,2018-03-29
0500000195,0000000040,HB-1175,,USD,899.00,786.62,112.37,I,,7.000,EA,2018-12-07
0500000369,0000000040,CB-1161,,USD,399.00,349.12,49.88,I,,10.000,EA,2019-09-15
0500000238,0000000020,BX-1013,,USD,449.00,392.87,56.13,I,,3.000,EA,2019-02-13
0500000423,0000000030,RC-1055,,USD,1999.00,1749.13,249.87,I,,9.000,EA,2019-11-26
0500000160,0000000050,EB-1132,,USD,1900.00,1662.50,237.50,I,,2.000,EA,2018-10-20
0500000215,0000000050,CC-1021,,USD,1144.00,1001.00,143.00,I,,4.000,EA,2018-12-30
0500000257,0000000020,RO-1001,,USD,525.00,459.37,65.62,I,,8.000,EA,2019-03-11
0500000165,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,2.000,EA,2018-11-01
0500000468,0000000020,CB-1161,,USD,399.00,349.12,49.88,I,,10.000,EA,2020-02-23
0500000308,0000000040,BX-1016,,USD,319.00,279.12,39.88,I,,6.000,EA,2019-06-18
0500000327,0000000040,RC-1051,,USD,2499.00,2186.63,312.37,I,,5.000,EA,2019-07-11
0500000430,0000000070,EB-1134,,USD,4800.00,4200.00,600.00,I,,6.000,EA,2019-12-21
0500000291,0000000020,EB-1132,,USD,1900.00,1662.50,237.50,I,,1.000,EA,2019-05-03
0500000262,0000000050,RC-1051,,USD,2499.00,2186.63,312.37,I,,3.000,EA,2019-04-10
0500000035,0000000020,CB-1162,,USD,400.00,350.00,50.00,I,,9.000,EA,2018-04-30
0500000442,0000000020,RC-1054,,USD,5499.00,4811.63,687.37,I,,1.000,EA,2019-12-25
0500000418,0000000020,CB-1162,,USD,400.00,350.00,50.00,I,,10.000,EA,2019-11-30
0500000359,0000000010,DB-1083,,USD,1199.00,1049.13,149.87,I,,2.000,EA,2019-08-31
0500000376,0000000050,BX-1013,,USD,449.00,392.87,56.13,I,,10.000,EA,2019-09-23
0500000191,0000000010,BX-1012,,USD,399.00,349.12,49.88,I,,2.000,EA,2018-12-03
0500000053,0000000030,RO-1001,,USD,525.00,459.37,65.62,I,,4.000,EA,2018-05-16
0500000206,0000000020,MB-1031,,USD,649.00,567.87,81.12,I,,4.000,EA,2018-12-29
0500000117,0000000020,RO-1003,,USD,721.00,630.87,90.12,I,,9.000,EA,2018-08-27
0500000394,0000000010,MB-1032,,USD,1299.00,1136.63,162.37,I,,10.000,EA,2019-10-23
0500000175,0000000070,BX-1014,,USD,799.00,699.12,99.87,I,,3.000,EA,2018-11-19
0500000112,0000000020,MB-1033,,USD,3999.00,3499.13,499.87,I,,3.000,EA,2018-08-03
0500000226,0000000030,CB-1163,,USD,288.00,252.00,36.00,I,,9.000,EA,2019-01-17
0500000012,0000000030,DB-1081,,USD,1499.00,1311.63,187.37,I,,1.000,EA,2018-03-18
0500000423,0000000040,BX-1012,,USD,399.00,349.12,49.88,I,,1.000,EA,2019-11-26
0500000071,0000000080,RC-1051,,USD,2499.00,2186.63,312.37,I,,9.000,EA,2018-06-15
0500000296,0000000010,BX-1012,,USD,399.00,349.12,49.88,I,,7.000,EA,2019-05-09
0500000315,0000000100,BX-1015,,USD,299.00,261.62,37.38,I,,9.000,EA,2999-12-12
0500000384,0000000030,BX-1013,,USD,449.00,392.87,56.13,I,,2.000,EA,2019-09-21
0500000456,0000000030,RC-1052,,USD,3999.00,3499.13,499.87,I,,10.000,EA,2020-01-31
0500000319,0000000080,RC-1051,,USD,2499.00,2186.63,312.37,I,,7.000,EA,2019-06-25
